title	content
빅뱅 라스트댄스는 ㄹㅇ 갓띵곡인것같다	아무것도 없이 그저 행복해하던 때가 엊그제 같은데 그래 너무 멀리 와버렸어 난 기억이 안 나  모든 게 처음이라 서툴고 설레이기만 해 그 시절 기억들이 아직도 꿈만 같은데 난 지금 어디로 가는지  노래듣는데 시험공부도 너무 힘들고 막막하고 그래서 감성터짐ㅠㅜㅠ
대학을 잘오면 머하노	대학와서 인생 다 망치는중....ㅜㅜㅜㅜㅜㅜㅜ
족같다진짜	홍준표가 2위인 나라가 내 조국이라니....ㅎㅏ
문재인대통령 너무좋아요	사실 문 지지자도 아니였는데 올라오는 기사들 볼때마다 왜이리 감격스럽죠
다들 어떻게 그렇게 성실하게 사시나요	저는 맨날 게으르게 사는데
연!!!!애!!!!하!!!!고!!!!싶!!!!다!!!!!!!!!!	주말에!!!!!! 과제말고!!!!!!!!!남친!!!!!!!!!!!!!!남치이이이인!!!!!ㅠㅠㅠㅠㅠㅠㅠㅠ
나만	나만 놓으면 될 관계인데 어떻게든 이어보려고 붙들고 있다 나는 오늘도
역씌 고대 학생사회다~	중앙운영위원회 위원 K씨 성추행 후 사퇴 http://www.kunews.ac.kr/news/articleView.html?idxno=23825  단과대 학생회장 출신 P씨 평소 성평등 활동을 해왔지만 안암역에서 몰카 찍다가 경찰서 연행. http://news.kbs.co.kr/news/view.do?ncd=3440839&ref=A  총학생회 선거운동본부원 의대생 P씨 교내 인권운동 위원회 회원으로서 의사는 합법적 살인 면허라는 발언을 함. 또한 평소 본인을 평소 페미니스트라고 주장하고 다님 실상은 전여친을 성노리개로 취급 피해자는 현재 정신과에서 치료 받는중. http://news.chosun.com/site/data/html_dir/2017/04/07/2017040702259.html  모 과 부학생회장 K씨 평소 성소수자 운동을 해왔으며 돼지발정제 관련 홍준표 후보 비난 -> 여학우에게 성관계 갖는게 뭐 대수냐 라며 한 번 자자며 성희롱
그 독문과 사건 어떻게됐나요	한참 시끌시끌하더니만 이야기 쏙 들어갔네요 학생회장은 여전히 회장이고
참 이름은 잘지었어	어캐 코리아를 갖다 붙였지
난...	공부를 하는 것인가 밤을 새는 것인가
메일 씹는 교수들 파면해야됨	개새끼들
황민현	사랑해ㅜㅜ
아니 진짜 속상한 게	저는 일반고든 외고든 여기 온 거 대단한 거라고 생각하는데 그게 노력이 더 작용했든 재능이 더 작용했든 본인 능력이었다고 생각해요. 근데 몇몇 외고생들이 좀 개념없는 발언 한 거 보이고 그걸 옹호할 생각은 없지만 외고 후려치기도 너무 심한데.... 애초에 서로가 서로를 경험해 보지 못했
에타 글 공감한 거 취소 못하지??	진짜 급함
저는 돈을 진짜 많이 벌 거예요	저보다 똑똑하고 비전있는 흙수저 젊은이들을 많이 지원해주고 싶어요 돈 때문에 발목잡히지 않고 자기 능력 실현할 수 있게 해주면 사회가 지금보다 훨씬 나아질텐데
땀많은사람..	나진짜 너무힘들어 땀때문엨ㅋㅋㅋㅋ 하
원래 다들 가끔 이유 없이 우울할 때가 있나요?	솔직히 주변에 진짜 바쁘게 사는 사람들에 비해서 그렇게 바쁘고 힘든 것도 아닌데 그냥 눈 앞에 놓인 일들이 너무 하기 싫고 자꾸 피하게 돼요 사소한 일도 버겁게 느껴져요 갑자기 기분이 가라앉으면서 지금까지 상처 받은 일들만 계속 반복해서 생각나고 더 우울해져요 무기력해지고 어떤 것에도 감흥이 없어져요 항상 이런 건 아니라 평소에는 별 생각 없이 살지만 가끔씩 이럴 때는 제 정신 상태가 건강하지 못하다고 느껴요 원래 다들 이런데 제가 괜히 엄살 떠는 건가요? 보통 사람들 다 이 정도는 견디나요?
이 글에 추천을 박고 가시면 2학기 수강신청 성공합니다.	믿어보세요
요즘 하루종일 누워서 폰만 만져요....	제 자신이 너무 한심해요
데일리트로피칼 사장님 존좋ㅋㅋㅋㄱ	파인애플주스 시켰는데 윙윙 갈더니 갑자기 잠깐만 와서 한입만 마셔보라고 하셔서ㅋㅋㅋㄱ뭐지 간보라는것도 아닐텐데 하면서 후루루룹 마시니까 한입만더!하셔서 또 후루룹 마심 사장님이 컵 보더니 음 됐군 하시면서 믹서기에 남은(정량보다 오바된) 주스 마저 붓고 포장해주셨어ㅋㅋㅋ한입이라도 더주
학교가기싫다...	보기 싫은 얼굴들을 또봐야 된다니....😡😡😡
당장 내일이라도 호그와트 입학허가서 왔으면 좋겠다	그럼 학교 바로 때려치고 호그와트 입학할텐데 나한테는 편지 언제올라나
가을냄새	계절이 바뀔때마다 그 공기에서 느껴지는 냄새와 그 안에서 떠오르는 옛기억 때문에 기분이 복잡미묘해진다
비염 시작된 사람?	양쫑 콩강 당 망형엉용 살령중셍용
0 3 4천번대 갖다버리네	아오
2017 정기 고연전 전체일정	2017 정기 고.전
어휴 응원단이 학교망신 다 시키네	http://mnews.joins.com/article/21959524 이러니 고대가 열등감 갖는다는 얘기 매해 회자되지 좀 정신차리고 같잖은 자존심 버리고 사과문 다시 올려라
진심 ㅈㄴ쪽팔려	연대생들한테 미안해죽겠고 피해자한테 미안해죽겠고 피해자 친구와부모님들에게 미안해죽겠고 나처럼 죄없는 고대생들이 얼굴못들고다니게 상황을만든 응원단에게는 빡침 세종이라던데...참 편하시겠어요?물론 모든 세종캠 학생들이 그렇지는 않겠지만 일부 학생들,,지가 원할때마다 소속바꿔가면서
요즘 수업들을수록 이런생각이 든다	저번학기 그리고 이번학기 수업한두개 빼고 모든전공이 영강으로 진행되고 있어. 영어 좋지.. 근데 올해 들은 영강들은 뭔가 잘못됐다고 생각이 든다. 열에 아홉은 영어로 말도 잘못하시면서 영강을 하니 수업을 그 누구도 제대로 듣질 못한다? 우리는 우리대로 수업을 거의 독학하다시피하고 외국학생들은 외국학생대로 못알아듣고... 국강일때는 명강이었던 전공강의였는데 영강이 되면서 일명 쓰레기강의로 전략한 강의가 한두개가 아니야. 진짜 이런 어설픈 영강들을 바에 외국대학에서 영강듣는게 훨씬 좋겠다는 생각이 들정도
에타 자게 자정운동합시다.	부적절한 글/차별적 발언에 신고 박고...  에타는 깨끗하게...  수고스럽겠지만 한표씩 부탁드립니다
지금 입시철인것 같은데	나는 대학생이라 넘 행복하당~~~~ 진짜 일년전만해도 아무리 열심히 해도 어떻게 될 지 모르는 불확실한 미래때문에 하루하루를 벌벌 거리며 살았는데 히히 일지망인 여기 붙어서 넘 햄보케 진짜 대학교 다니면서 수업듣느라 과제하느라 짜증나 죽겠지만 일년전 생각하면 또 그때 내가 얼마나 불안해하고 초조해했는지 돌이켜 보면 갑자기 지금 내가 너무 행복해진당 진짜 고3 끔찍했는데... 이젠 내가 자소서 안쓰고 면접준비 안해도 돼서 넘 좋다~~~ 꺄르륵
여러분이 다니는 학교도 좋은 학교입니다	
다 책임지셔야 합니다.	명확한 근거 하나 없이 온라인 상에서 가해자 지목하고 실명을 거론하며 특정 학과, 특정 동아리를 사람들 입에 오르내리게 하여 많은 사람들에게 상처를 줬습니다. 모든 이야기가 허언이고 모함이라는 것이 밝혀지면 가해자는 최초 유포자와 무고한 사람의 사생활을 댓글에 올린 사람들 입
월요일에짖는개	월!!!!!워월월!!!!! 으르르ㅡㄹ....월!!!!!!워월월!!!!!!! 월!!!!!워월월!!!!! 월!!!!!워월월!!!!! 으르르ㅡㄹ....월!!!!!!워월월!!!!!! 월!!!!!워월월!!!!! 으르르ㅡㄹ....월!!!!!!워월월!!!!!!! 월!!!!!워월월!!!!! 으르르ㅡㄹ
남성분들 잘 생각해보십시오.	지금 댓글 하나라도 더 쓸 시간에 마스크팩이라도 하고 일찍 자는 게 더 사랑받는 길입니다. 미래의 여자친구가 남성분들의 하얗고 뽀얀 피부를 보면 얼마나 예뻐라 해 주겠습니까? 또 예쁜 입에서는 예쁜 말만 나온다고 남성분들이 욕하고 그러는 거 엄청 안 좋아 보여요. 세상에 게으른 남자는
문돌이 오늘 수능치며 느낀 점	1교시 국어가 끝난 후 : 나는 고려대에 가장 적합한 인재이다 2교시 수학이 끝난 후 : 나같은 등신이 작년에 고려대에 붙은 건 기적이다
다들	힘내요♡
수고했어요	정말 고생했어요. 그댄 나의 자랑이죠
행심?	행복의 심리학 아님? 왜 이거 듣는 사람들 다 불행해보이지
후... 다음 학기 4.5노린다 ㄹㅇ	삼가 학점의 명복을 빕니다
요며칠 문대 관련된 글 보면서 들었던 생각.	문대 어문계열 재학 중이야. 며칠동안 문대에 대한 온갖 글 보면서 떠올랐던 솔직한 생각을 남겨보고 싶었어. 내가 입시할 때 우리과 지원했던 가장 큰 이유는 “고대 타이틀”이었어. 전공에 대한 학술적 관심 내지는 대학 진학 후에도 잘 알아보고 심도 있게 공부하고 싶은 생각은 부
1987봤는데	우리가 누리고 있는 그 무엇도 당연한게 하나 없다는 생각이 든다
교환 지원하면서 느낀건데	국제처는 3만원씩이나 전형료로 받으면서 지원서 제출 사이트는 너무 오래돼서 18줄 넘으면 오류나더라 게다가 면접이나 자소서 선발 기준에 대한 정보도 정확히 알려주지를 않으니 인맥 없으면 참고할 자료도 많이 없고. 2차지원이나 오티메일? 이런거 왔다는 글들도 보이는데 뭐 하나 시원하게 알려주는 것 없이 진행하니까 지원자로서 답답하다ㅠ 어차피 내일이면 결과나겠지만... 에타에 교환 관련 글 많이 올라와서 써봄
여자 특징	(여자가 더 숫자 많은 직업을 본 경우) ???: 역시 여자가 더 똑똑해~~ (여자가 더 숫자 적은 직접을 본 경우) ???: 남자가 암묵적으로 유리하게 대우받는거야
남녀라는 말부터 여자가 차별당하고 있단 증거야	그런게 수천년 간 이어져온 차별이지
여기서 g랄옘병하는놈들 전부	현실에서는 씹아싸에 인터넷워리어들 아니냐? 왜 지들끼리 쳐 싸우고 앉아있냐 똑같은 넘들끼리 ㅋㅋㅋㅋㅋ 종나 웃기네 ㅋㅋㅋㅋㅋ
GCDA	^^7
밥약이고 뭐고	올해는 다 안 한다. 새내기들은 귀엽지만 내 통장 잔고도 너무 귀여워져. 그리고 작년에 쏟아 부었는데 이제 연락하는 후배는 단 하나ㅋ 내가 더 먹고 더 입고 나한테 투자할꺼야 다 저리가 이씨
아기낳는만화	ㄹㅇ존나 띵작
스케이트맘의 폭로…“우리 아들은 이승훈의 ‘탱크’였다”	http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&oid=081&aid=0002895877&sid1=001
개강 씹새끼	꺼져줘 제발ㅠㅠ
국가 장학금이 불러온 참사	우리 아버지는 중소기업 다니심. 하우스푸어라 빚에 쪼들리는 형편임. 근데도 매번 국장 신청하면 소득분위때문에 떨어지는 거임. 이번에도 떨어지자 어머니는 아버지를 의심하기 시작. 아버지에게 급여명세서 공개를 요구하셨으나 매번 어물쩍 넘어감. 듣기로는 월 400이 조금 못된다고 함. 근데,
너무 색안경 끼고 바라보는 걸수도 있는데	고려대학교가 공부를 잘해서 들어온 학우들이 많아서 그런지 정치 사회적 신념이랄지 개인적인 의견조차도 누군가에게 진리인양 강요하고 상대가 나보다 지적으로 아래 수준에 있다고 은연중에 생각하는게 말투나 행동으로 나타나는거같음. 본인들은 아니라고 생각할 수 있는데 가린다고 가려지는 것도 아니
연세치킨이 도대체 왜 비건 혐오냐?	연세치킨이 비건 혐오인 이유가 도대체 뭐냐?? 길거리 치킨집도 비건 혐오라 할 기세네;;;
연세치킨은 채식인에 대한 혐오 배제가 아닙니다	먼저 글을 쓰기에 앞서, 저는 건강상의 이유로 어류와 고기를 먹지 못하고 락토 오보 채식(생선과 육류를 먹지 못하고, 유제품과 계란까지 먹을 수 있습니다.) 을 하는 사람임을 밝힙니다. 이번 2018 합동 응원 오리엔테이션에서, ‘연세치킨’이라는 응원곡이 틀어지지 않는다는 것
연세치킨으로 대자보쓰면 연서명할 의사있으세요?	단순 응원곡 이슈를 떠나 마음대로 소수의 입장을 대변하는 자들의 횡포를 멈춰야할 시점이 오는 것 같아요. 유치한 응원곡 장난 이건 빙산의 일각이겠죠. 민주주의를 제대로 구현하려면 다수의 의사, 그리고 인권 둘다 존중해야하는데 다수의 의사가 부정될 때는 오직 인권 측면에서 문제가
*고려대학교 응원단은 동작부 활동을 중단해야 합니다.	소리치며 뛰는 행위는, 거동이 불편한 신체장애학우에 대한 혐오 양상이 짙기 때문입니다. 응원은 제자리에 앉아서 해야합니다
pc충들한테 점령당하니까 씹선비화되네	그렇게 하나하나 따지고 들어가면 존나 끝도 없잖아 ㅋㅋㅋㅋㅋㅋㅋㅋ 소수가 존중받으려면 다수를 존중할 줄도 알아야지 소수가 마음에 안 든다고 다수가 즐기던 걸 지들 ㅈ대로 고치는 게 말이 되나 사람마다 차이가 있으면 서로 존중해줘야지 pc충들은 다수는 무조건 나쁘고 소수는 무조건 옳네 ^오^
소수도 존중하자	2, 3, 5, 7, 11, 13
이글 좋아요 누른 사람은	이번 학기에 꼭 솔로 탈출하고 좋은 인연 만난다. 나도 이글 좋아요 누른 학우 모두가 이번 학기 달달한 연애하길 응원한다
천하제일 과로대회라도 하냐	알바 X개 과외 X개 동아리 X개 연애 등등 하고 학점 나오냐고 물어보는거 아니 솔직히 말해서 그걸 누가 어떻게 아냐? 차라리 이 중에 뭘 포기할까요라고 물어봐라 ㅡㅡ 과마다 다르고 교수마다 다르고 학생마다 다른게 학점 받기인데 그런것도 안밝히고 그냥 다짜고짜 학점 4넘을까요?
띠바..	사망년이라니.. 뭐 했다고 3학년
ㅈ 좀 잘 관리하자	ㅅㄲ들아
고파스 미친거아님?	일베랑 뭐가 달라;
다들 수강신청 때문에	고생이시네요ㅠㅠ(저 포함)맴찢 성공하신분들 축하드리고 실패하셨더라도 듣게 된 수업 잘 헤쳐나가시길 바래요!!!❤ 이번 한 학기 다들 팟팅해요오🔥
ㅈㅁㄱ 댓글	피해자 탓이다 미투운동이 결국 사람 죽였다 란 글 보고 기가 찬다.. 자기가 자신의 죄를 감당 못해서 제대로된 사과 없이 도망쳤는데 왜 그 화살을 피해자한테 돌리는거지? 애초에 그딴 짓 안했으면 됐잖아. 어이가 없다
이 일로 인해서 미투운동 본질이 흐려지지 않았으면 좋겠다	사람이 죽었는데 이런 생각부터 들게 만든 그 파렴치한 인간들도 너무 싫다
미투 운동	지금 이상황에서 우리가 집중해야하는 사실은 그동안 여러 분야에서 권위자 위치에 있던 수많은 남성들이 그 조직안에서 얼마나 많은 더러운 짓을 했는가. 이에 대해 우리는 이제서야 그 문제점을 인식하고 가해자를 처벌하고, 피해자를 보호하고 더이상의 피해자가 생기지 않게끔 바꾸어나
진심 75분수업 너무 힘들ㄷㅏ....	40분넘어가면 이미 힘듦.... ㅠ
왜 다들 연애중인거지..?	개빡치네
월요일이면짖는개	월!!!!!워월월!!!!! 으르르ㅡㄹ....월!!!!!!워월월!!!!!!! 월!!!!!워월월!!!!! 월!!!!!워월월!!!!! 으르르ㅡㄹ....월!!!!!!워월월!!!!!! 월!!!!!워월월!!!!! 으르르ㅡㄹ....월!!!!!!워월월!!!!!!! 월!!!!!워월월!!!!! 으르르ㅡㄹ
지하철 통학하다가	화병으로 디질거같아
제발 교수님의 폐건강을 위해서 휴강해주세요	교수님도 사셔야죠
교수교수 지금도 늦지 않았으..	어서 휴강문자를.....!!!!
델리만쥬향 디퓨저가 있으면 좋겠다	비정상적인 힘이 날 거 같아
오늘의 TMI (응원곡)	-민족의 아리아보다 뱃노래가 훨씬 오래됐다. 아리아는 2003년에 나옴. -대신 그 이전엔 지야의함성이 정말 아리아급이었다. 고대 출신 부모님 계시다면 물어봐라. 아리아 절대 모르시고 지야의함성과 뱃노래 두개만 기억하실거다. 필자는 가족 앞에서 아리아 얘기하다가 아버님께 심한
제발 키스킨 끼자~~~	제발~~~~~~ 맨앞자리에서 수업들어도 옆자리 앉은 사람이 키보드로 슈팅게임을 하는건지 피아노를 치는건지 타닥타당ㅌ다타닥ㅌ다ㅏㄱ타닥 그러면서 필기량은 또 엄쳥 많고 그 필기 갖고싶다 암튼 키스킨 낍시다~~
가산점	3점
존나 나만	들이대는것 같아 개빡치네 카톡 안할래
블보또안돼	개복치새끼
나는 대학교 알러지 원숭이	그래도 나는 고려대 조아해~
블랙보드 대체 어플 경연열어야된다 진심	븅신같은 블랙보드 쓰느니 전액장학금 + 생활비 조건으로 블랙보드 대체 어플 개발공모전 띄우면 이 쓰레기같은 블랙보드보다 백만배는 좋은 어플 나올텐데 어디 어떤새기가 관리하는 모르겠는데 진짜 목자르고싶다
집중력(Home Gravity)	집에 이끌리는 힘 공부를 못하게 되는 근원이다
야 밑에 명단 올린 놈 봐라	깔거면 대표들 말고 집행부를 까야지 쟤네는 그냥 단위 대표들이어서 사범대 운영 위원회는 과 회장말곤 아무도 안간다고;;; 문제가 되는건 사범대 운영 위원회 줄여서 사운위 거기지 등신아;;; 17 18과대들은 뭔 죄냐 미친놈아 걔네는 아무것도 안해
에타 오늘 맛탱이갔네	아이린짤로 정화합시다ㅎㅎ
시발 전공을 너무 얕봤다	전공이 괜히 전공이 아니구나 양 존나 드럽게 많네
🙏🙏	오늘 시험 잘 보게 해주세요🙏🙏
나 지금 공부하다가 개빡쳤으니까	밥 먹고 오기전까지 베스트 게시판 보내놔라
야 존나 다필요없고	행복하자 이새키들아 존나 뭐있냐 인생
오늘 자 뽀또.jpg	졸귀탱ㅠㅠ
❗❗❗생명대 ㅂㅂㄷㄷ씨의 인성을 고발합니다❗❗❗	저는 평소처럼 레포트를 제출하고 오늘 길이었습니다. 그런데 ㅂㅂㄷㄷ 씨가 갑자기 제 가방을 붙잡으시더니 안 놓아주시더라구요. 저는 당연하게도! 부드럽게 가방을 다시 가져오려고 했는데 아예 가방 위에 앉아버리는 거에요... 아직 남은 시험이 있어서 급했던 저는 ㅂㅂㄷㄷ씨를 부드럽
6시간 후면 시험인데	내가 여기서 왜 나와?
오늘 시험 잘 칠거다	잘 칠거야!🤘
이렇게 드랍제도가 절실했던 적이 없었다..	수강신청했던 과거의 나 죽어라
학교공부가 단기적이고 의미없단 사람들아	솔직히 나도 그렇게 생각하던 사람 중 1인이었는데 이번학기에 너무 어려운 과목 있어서 그날 나간 범위 바로복습하고 모르는거 있으면 교수님한테 여쭤보고 더 궁금한거 있으면 찾아보고 그러니까 내가 지금까지 그렇게 학교공부비판한답시고 말한게 사실 내가 더 지식을 얻기 위한 노력은 딱히 안하고
하 마지막 과목이라고 생각하니 더 집중 안되네	전공인데 스벌 이미 시험끝난거같음;; 사실상 제일 중요한게 남은건데 갑자기 여유가 넘치네...아까 대충 보니 양도 졸라 많더만 후,,
오만과	
우리 할아버지 올해 94세다!!!	생일이라고 춤도 추셨어 ㅋㅋㅋㅋ 매우 정정하심 다같이 축하해죠 ㅎ
와씨.. 그렇담 패스.	ㅇㅇ 노노야..!
뻔후이자식	이제연락도없네
찐따 라는 말 쓰지말자	내일 이라는 웹툰에서 봤는데 찐따는 일본어 침바 에서 유래된 말로 다리병신을 뜻하는 말이래. 625전쟁때 지뢰를 밟고 다리가 잘린 군인들을 멍청해서 지뢰나 밟았다고 조롱하던 단어였대 ㅜㅜ 몰랐어
현 성북구청장의 고려대 기숙사 정책	죽이고싶다
하 내일 군대 간다	가기 전에 핫게 한번만 가보자
요즘 내 1일 1짤	계속 보고 혼자 피식거림ㅋㅋㅋㅋㅋㅋ
월요일이면짖는개	월!!!!!워월월!!!!! 으르르ㅡㄹ....월!!!!!!워월월!!!!!!! 월!!!!!워월월!!!!! 월!!!!!워월월!!!!! 으르르ㅡㄹ....월!!!!!!워월월!!!!!! 월!!!!!워월월!!!!! 으르르ㅡㄹ....월!!!!!!워월월!!!!!!! 월!!!!!워월월!!!!! 으르르ㅡㄹ
어무니는 항상 제대로된 여자하고 결혼하라시는데..	아니.... 상식적으로 제대로된 여자가 날 왜만나냐;;;
신입생인데 아는 사람을 거의 못 봐서 올려요	1) 저희 블랙보드 코스 목록에 보시면 1학년 세미나 있잖아요, 이거 5월 11일 금요일까지 3개 강좌 수강 및 퀴즈 응시해야해요! 기간 종료 후 이수 불가(=1학점 날라감)라고 합니다ㅠㅠ 2) 코스 목록 들어가시면 우측 하단에 '[학부/대학원] 2018 인권과 성평등 교육'이
대학오고 꽤 오래 생활해보니 느낀점	교수님들은 대부분 그 분야에 박식한 사람을 뜻하지, 그 분야에 대해서 설명을 잘 해주는 사람들을 지칭하는 단어는 아님
블랙보드 쓰레기	블랙보드 진심 쓰레기 같은 사이트. 매번 필요할 때 안되는 사이트. 학생들 접속 못 시켜서 잠 못들게하고 내일 수업에 지장주고 지적능력 하락시키는 사이트.. 진심 옛날 EKU랑 비교했을 때 최악의 사이트
화요일에불타는불	화ㄹㄹㄹ활!화ㄹㄹㄹㄹ화ㄹ화화화ㄹㄹㄹ화ㄹㄹㄹ활!화ㄹㄹㄹㄹ화ㄹ화화화ㄹㄹㄹ화ㄹㄹㄹ활!화ㄹㄹㄹㄹ화ㄹ화화화ㄹㄹㄹ화ㄹㄹㄹ활!화ㄹㄹㄹㄹ화ㄹ화화화ㄹㄹㄹ화ㄹㄹㄹ활!화ㄹㄹㄹㄹ화ㄹ화화화ㄹㄹㄹ화ㄹㄹㄹ활!화ㄹㄹㄹㄹ화ㄹ화화화ㄹㄹㄹ화ㄹㄹㄹ활!화ㄹㄹㄹㄹ화ㄹ화화화ㄹㄹㄹ화ㄹㄹㄹ활!화ㄹㄹㄹㄹ화ㄹ화화화ㄹㄹㄹ화ㄹㄹㄹ활!화ㄹ
우리 그냥	휴머니즘 하면 안 될까? 모든 인간이 행복할 수 있는 사회를 위해
성폭력 무고죄 강화 필수.	헬조신은 성폭력 무고 범죄가 세계에서 가장 많은 편인데 그에 대한 처벌은 아예 없는 수준임
나만 강남역 추모집회 역겹나	피해자 유족들의 의견을 묵살하면서 피해자를 추모하는 집회라니
워마드	는 사회의 악이다
아진짜 사심 1도 안섞고 하는 말인데	평소에 팝 위주로 듣고 인디도 듣고 차트곡도 듣고... 막듣는 리스너? 라고 하기도 뭐한 음악 좋아하는 일반사람인데 이번 방탄 앨범 미쳤네요 진짜... 너무 좋음 왜 빌보드가 무대하자고 데려갔는지 알겠음 아이돌 차트 줄세우기라고 편견갖지 말고 한번만 들어보세요 진짜 좋음 줄세우기 아니라
아~~~~~ ㅅ i 이 벌	티켓은 티켓 게시판 가라ㅗ고~~~~~~~~~~~~
축제에 샤이니가 온대서 고대 썼는데	김장훈이라뇨
숲튽훈 형 이후로 다 ㅅㅌㅊ로 보이네	^^
그래서 라인업이 뭔데	당일날에는 일려줘야지 새기들아
하이라이트	남돌이라 걱정했는데 생각보다 분위기 괜찮았던듯 특히 얼굴찌푸리지말아요,쇼크,아름다운밤은 ㄹㅇ
솔직히 처음에 하이라이트 온다했을때 별 기대 안했었는데	픽션 전주 나올때부터 그냥 정신 놓음 ㅠㅠ 너무 좋아 내 구오빠들 쇼크에 아름다운 밤이야 까지 흗흑 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
하 옛날에 비스트 진짜 좋아했었는데..	비스트 노래 나올 때 추억 돋았고 다들 여전히 멋있었고 걍 넘 좋았다ㅜㅜ 구오빠들 행복하세요
같은 싸이가 왔지만	고대는 고대였다
하이라이트 9년차 팬인데	지금 막 인기 많고 그런 아이돌은 아니잖아 그래서 다들 호응없고 왜 불렀냐고 할까봐 걱정 많이 했거든 근데 생각보다 반응 나쁘지 않아서 다행이다 비스트->하이라이트 되면서 우여곡절 많이 겪었는데 앞으로도 관심 많이 가져줘❤️
